time,open,high,low,close,volume
2022-04-18 10:00:00,2908.62000000,2923.69000000,2905.05000000,2911.85000000,21766.38140000
2022-04-18 12:00:00,2911.86000000,2952.79000000,2911.11000000,2922.82000000,50786.33130000
2022-04-18 14:00:00,2922.82000000,2944.52000000,2905.00000000,2914.25000000,41435.52740000
2022-04-18 16:00:00,2914.25000000,2991.44000000,2895.00000000,2984.71000000,69702.11120000
2022-04-18 18:00:00,2984.72000000,3024.78000000,2980.84000000,3005.72000000,63697.51520000
2022-04-18 20:00:00,3005.72000000,3052.08000000,3004.58000000,3042.56000000,30786.18320000
2022-04-18 22:00:00,3042.55000000,3069.60000000,3031.94000000,3055.56000000,30740.04940000
2022-04-19 00:00:00,3055.56000000,3095.18000000,3051.76000000,3052.58000000,38542.70770000
2022-04-19 02:00:00,3052.59000000,3057.24000000,3035.79000000,3037.58000000,23889.63270000
2022-04-19 04:00:00,3037.59000000,3050.82000000,3035.33000000,3037.68000000,17330.21030000
2022-04-19 06:00:00,3037.67000000,3051.97000000,3030.34000000,3039.01000000,16763.41920000
2022-04-19 08:00:00,3039.01000000,3069.03000000,3032.64000000,3039.06000000,23776.44530000
2022-04-19 10:00:00,3039.06000000,3063.23000000,3038.11000000,3041.51000000,22502.46420000
2022-04-19 12:00:00,3041.51000000,3094.87000000,3040.88000000,3094.29000000,54032.27220000
2022-04-19 14:00:00,3094.29000000,3131.00000000,3092.67000000,3110.52000000,64247.83900000
2022-04-19 16:00:00,3110.53000000,3125.87000000,3079.28000000,3091.93000000,42421.60570000
2022-04-19 18:00:00,3091.93000000,3119.69000000,3087.12000000,3110.65000000,22867.54850000
2022-04-19 20:00:00,3110.66000000,3110.66000000,3085.50000000,3099.15000000,16993.28230000
2022-04-19 22:00:00,3099.15000000,3111.43000000,3091.62000000,3101.77000000,16007.57670000
2022-04-20 00:00:00,3101.74000000,3106.54000000,3066.71000000,3086.92000000,26650.71600000
2022-04-20 02:00:00,3086.92000000,3092.74000000,3076.25000000,3091.62000000,18029.89080000
2022-04-20 04:00:00,3091.63000000,3100.18000000,3078.31000000,3099.72000000,19979.23330000
2022-04-20 06:00:00,3099.73000000,3115.00000000,3086.71000000,3089.75000000,24759.92950000
2022-04-20 08:00:00,3089.74000000,3115.25000000,3086.66000000,3106.08000000,21911.62750000
2022-04-20 10:00:00,3106.07000000,3166.50000000,3097.08000000,3152.78000000,59099.50980000
2022-04-20 12:00:00,3152.78000000,3162.00000000,3086.86000000,3103.00000000,68571.46840000
2022-04-20 14:00:00,3103.00000000,3113.03000000,3051.16000000,3068.30000000,63255.78200000
2022-04-20 16:00:00,3068.30000000,3088.00000000,3055.00000000,3081.79000000,30584.50750000
2022-04-20 18:00:00,3081.78000000,3081.79000000,3036.45000000,3070.00000000,36649.05010000
2022-04-20 20:00:00,3070.00000000,3087.51000000,3058.38000000,3084.40000000,24193.42210000
2022-04-20 22:00:00,3084.40000000,3096.20000000,3069.40000000,3076.04000000,21314.93150000
2022-04-21 00:00:00,3076.03000000,3104.10000000,3071.25000000,3100.44000000,22054.08750000
2022-04-21 02:00:00,3100.43000000,3105.00000000,3083.58000000,3096.80000000,14250.77070000
2022-04-21 04:00:00,3096.80000000,3104.45000000,3070.24000000,3072.46000000,23867.06800000
2022-04-21 06:00:00,3072.46000000,3105.17000000,3066.66000000,3100.56000000,23101.34070000
2022-04-21 08:00:00,3100.55000000,3109.84000000,3082.77000000,3088.61000000,28507.46670000
2022-04-21 10:00:00,3088.60000000,3159.99000000,3086.51000000,3151.15000000,76311.42070000
2022-04-21 12:00:00,3151.15000000,3180.00000000,3141.01000000,3155.53000000,76786.82500000
2022-04-21 14:00:00,3155.52000000,3156.51000000,3101.55000000,3104.81000000,64172.86810000
2022-04-21 16:00:00,3104.81000000,3107.43000000,3061.06000000,3065.92000000,61854.37290000
2022-04-21 18:00:00,3065.92000000,3072.73000000,3021.74000000,3026.23000000,46313.42440000
2022-04-21 20:00:00,3026.23000000,3034.23000000,2993.72000000,3002.25000000,64243.66880000
2022-04-21 22:00:00,3002.25000000,3012.95000000,2942.31000000,2983.58000000,61236.38350000
2022-04-22 00:00:00,2983.57000000,3002.20000000,2968.83000000,2997.01000000,37559.55580000
2022-04-22 02:00:00,2997.02000000,3009.95000000,2992.93000000,2995.41000000,27836.48440000
2022-04-22 04:00:00,2995.41000000,3021.30000000,2990.00000000,3012.19000000,27989.27160000
2022-04-22 06:00:00,3012.20000000,3034.32000000,2986.04000000,3019.91000000,37029.20840000
2022-04-22 08:00:00,3019.90000000,3029.22000000,2978.19000000,2985.56000000,37150.33730000
2022-04-22 10:00:00,2985.55000000,3017.48000000,2976.72000000,3014.36000000,27480.98320000
2022-04-22 12:00:00,3014.36000000,3022.10000000,2976.74000000,2988.74000000,52372.57010000
2022-04-22 14:00:00,2988.75000000,3001.88000000,2944.01000000,2949.53000000,78826.22270000
2022-04-22 16:00:00,2949.53000000,2966.44000000,2930.35000000,2950.14000000,48453.80350000
2022-04-22 18:00:00,2950.14000000,2982.91000000,2943.18000000,2956.71000000,42712.92770000
2022-04-22 20:00:00,2956.70000000,2972.36000000,2954.25000000,2964.39000000,19211.41400000
2022-04-22 22:00:00,2964.40000000,2970.54000000,2936.50000000,2962.39000000,15810.30330000
2022-04-23 00:00:00,2962.39000000,2975.39000000,2954.05000000,2962.62000000,16854.78070000
2022-04-23 02:00:00,2962.62000000,2964.97000000,2938.02000000,2946.32000000,16401.41550000
2022-04-23 04:00:00,2946.31000000,2959.33000000,2913.89000000,2954.81000000,28298.58060000
2022-04-23 06:00:00,2954.80000000,2964.59000000,2950.42000000,2959.80000000,10924.44910000
2022-04-23 08:00:00,2959.80000000,2969.99000000,2952.25000000,2954.46000000,17863.11380000
2022-04-23 10:00:00,2954.46000000,2964.52000000,2953.02000000,2958.73000000,10143.24500000
2022-04-23 12:00:00,2958.73000000,2971.76000000,2946.62000000,2962.69000000,19656.80590000
2022-04-23 14:00:00,2962.69000000,2969.93000000,2955.00000000,2966.04000000,12989.48760000
2022-04-23 16:00:00,2966.18000000,2978.03000000,2954.05000000,2960.26000000,19302.99320000
2022-04-23 18:00:00,2960.25000000,2960.87000000,2947.36000000,2953.27000000,9976.57600000
2022-04-23 20:00:00,2953.28000000,2969.36000000,2952.00000000,2966.82000000,9003.90180000
2022-04-23 22:00:00,2966.82000000,2967.93000000,2921.62000000,2933.03000000,16161.38320000
2022-04-24 00:00:00,2933.04000000,2945.73000000,2928.00000000,2928.01000000,17933.80810000
2022-04-24 02:00:00,2928.01000000,2960.00000000,2922.77000000,2955.92000000,18160.61320000
2022-04-24 04:00:00,2955.93000000,2958.85000000,2945.08000000,2945.09000000,9099.26220000
2022-04-24 06:00:00,2945.08000000,2958.63000000,2944.00000000,2949.49000000,7691.20170000
2022-04-24 08:00:00,2949.49000000,2953.98000000,2941.09000000,2948.95000000,8276.50920000
2022-04-24 10:00:00,2948.96000000,2955.63000000,2934.83000000,2938.86000000,10306.07390000
2022-04-24 12:00:00,2938.86000000,2945.19000000,2923.41000000,2938.70000000,17999.65120000
2022-04-24 14:00:00,2938.70000000,2957.00000000,2912.09000000,2943.82000000,29051.61750000
2022-04-24 16:00:00,2943.83000000,2953.35000000,2916.17000000,2922.82000000,40931.40300000
2022-04-24 18:00:00,2922.82000000,2967.06000000,2921.53000000,2959.58000000,24809.55780000
2022-04-24 20:00:00,2959.57000000,2962.46000000,2936.68000000,2945.15000000,13246.04550000
2022-04-24 22:00:00,2945.16000000,2952.50000000,2917.82000000,2921.00000000,21451.27890000
2022-04-25 00:00:00,2920.99000000,2925.75000000,2841.60000000,2865.04000000,79386.06790000
2022-04-25 02:00:00,2865.03000000,2879.72000000,2853.18000000,2875.59000000,26495.20270000
2022-04-25 04:00:00,2875.58000000,2876.00000000,2845.77000000,2850.44000000,26393.75410000
2022-04-25 06:00:00,2850.44000000,2856.05000000,2797.10000000,2811.41000000,70907.52920000
2022-04-25 08:00:00,2811.41000000,2833.82000000,2797.01000000,2827.25000000,38583.27650000
2022-04-25 10:00:00,2827.24000000,2863.94000000,2818.56000000,2861.74000000,42009.46690000
2022-04-25 12:00:00,2861.73000000,2895.39000000,2842.00000000,2857.11000000,67261.44910000
2022-04-25 14:00:00,2857.12000000,2895.64000000,2845.23000000,2869.57000000,67528.98040000
2022-04-25 16:00:00,2869.58000000,2941.34000000,2865.72000000,2927.97000000,69495.78680000
2022-04-25 18:00:00,2927.98000000,3015.00000000,2921.60000000,3012.41000000,78201.52810000
2022-04-25 20:00:00,3012.41000000,3025.65000000,2989.99000000,3007.99000000,28005.29290000
2022-04-25 22:00:00,3008.00000000,3025.12000000,3003.17000000,3006.62000000,24930.02700000
2022-04-26 00:00:00,3006.63000000,3039.54000000,3002.00000000,3002.89000000,30551.89930000
2022-04-26 02:00:00,3002.90000000,3006.30000000,2986.56000000,3001.00000000,18378.88650000
2022-04-26 04:00:00,3001.00000000,3013.71000000,2996.10000000,3005.03000000,17444.93680000
2022-04-26 06:00:00,3005.03000000,3010.62000000,2977.93000000,3003.24000000,28466.63430000
2022-04-26 08:00:00,3003.23000000,3020.83000000,2990.01000000,2994.93000000,29263.00410000
2022-04-26 10:00:00,2994.94000000,3009.94000000,2984.88000000,3003.04000000,18137.61470000
2022-04-26 12:00:00,3003.04000000,3012.32000000,2941.11000000,2942.80000000,51775.18550000
2022-04-26 14:00:00,2942.80000000,2945.22000000,2853.76000000,2859.76000000,96329.87860000
2022-04-26 16:00:00,2859.76000000,2885.86000000,2836.41000000,2860.56000000,83575.59230000
2022-04-26 18:00:00,2860.57000000,2869.18000000,2809.36000000,2838.93000000,60777.87630000
2022-04-26 20:00:00,2838.92000000,2855.00000000,2800.00000000,2840.96000000,44466.72570000
2022-04-26 22:00:00,2840.96000000,2846.42000000,2767.00000000,2809.67000000,52016.11630000
2022-04-27 00:00:00,2809.68000000,2838.76000000,2794.46000000,2837.02000000,39553.76300000
2022-04-27 02:00:00,2837.03000000,2844.69000000,2829.10000000,2836.28000000,21586.02120000
2022-04-27 04:00:00,2836.29000000,2858.78000000,2831.35000000,2845.01000000,20468.57020000
2022-04-27 06:00:00,2845.01000000,2893.00000000,2843.74000000,2892.23000000,36901.44480000
2022-04-27 08:00:00,2892.23000000,2914.34000000,2867.55000000,2899.92000000,57742.64270000
2022-04-27 10:00:00,2899.93000000,2904.23000000,2860.02000000,2884.79000000,33393.80640000
2022-04-27 12:00:00,2884.80000000,2919.87000000,2855.81000000,2904.73000000,60496.49670000
2022-04-27 14:00:00,2904.73000000,2910.00000000,2820.93000000,2865.23000000,94607.84470000
2022-04-27 16:00:00,2865.24000000,2895.00000000,2855.54000000,2873.18000000,48694.51060000
2022-04-27 18:00:00,2873.18000000,2878.20000000,2838.93000000,2852.68000000,29888.56450000
2022-04-27 20:00:00,2852.67000000,2899.40000000,2851.00000000,2887.54000000,29024.09460000
2022-04-27 22:00:00,2887.54000000,2896.20000000,2873.31000000,2888.96000000,16593.48220000
2022-04-28 00:00:00,2888.95000000,2915.45000000,2869.47000000,2876.96000000,29392.61180000
2022-04-28 02:00:00,2876.95000000,2900.00000000,2872.10000000,2883.85000000,21235.86360000
2022-04-28 04:00:00,2883.85000000,2894.99000000,2875.01000000,2882.54000000,17330.95310000
2022-04-28 06:00:00,2882.53000000,2938.04000000,2877.33000000,2900.27000000,32124.26330000
2022-04-28 08:00:00,2900.27000000,2947.47000000,2899.73000000,2940.16000000,51192.34390000
2022-04-28 10:00:00,2940.16000000,2942.19000000,2923.09000000,2928.26000000,22896.35310000
2022-04-28 12:00:00,2928.27000000,2936.00000000,2867.85000000,2870.11000000,67671.25810000
2022-04-28 14:00:00,2870.12000000,2946.50000000,2853.83000000,2889.53000000,108921.50800000
2022-04-28 16:00:00,2889.53000000,2971.97000000,2875.63000000,2971.19000000,74378.98030000
2022-04-28 18:00:00,2971.19000000,2980.00000000,2943.01000000,2947.83000000,44462.83230000
2022-04-28 20:00:00,2947.84000000,2969.69000000,2921.63000000,2936.22000000,43085.04000000
2022-04-28 22:00:00,2936.22000000,2941.00000000,2911.71000000,2936.93000000,24700.99030000
2022-04-29 00:00:00,2936.92000000,2946.46000000,2925.70000000,2931.65000000,25832.86680000
2022-04-29 02:00:00,2931.66000000,2936.35000000,2904.14000000,2926.21000000,40289.73970000
2022-04-29 04:00:00,2926.21000000,2935.90000000,2909.61000000,2921.86000000,29397.06030000
2022-04-29 06:00:00,2921.86000000,2929.72000000,2908.74000000,2925.85000000,26168.01670000
2022-04-29 08:00:00,2925.84000000,2927.79000000,2875.46000000,2880.21000000,35427.22290000
2022-04-29 10:00:00,2880.22000000,2889.39000000,2834.28000000,2843.11000000,48113.89140000
2022-04-29 12:00:00,2843.11000000,2886.23000000,2832.07000000,2879.25000000,63124.85150000
2022-04-29 14:00:00,2879.25000000,2883.43000000,2843.11000000,2856.51000000,53906.57650000
2022-04-29 16:00:00,2856.51000000,2857.53000000,2805.26000000,2822.72000000,59599.09700000
2022-04-29 18:00:00,2822.71000000,2829.00000000,2776.63000000,2792.96000000,89604.80080000
2022-04-29 20:00:00,2792.95000000,2818.15000000,2789.07000000,2807.80000000,35865.36690000
2022-04-29 22:00:00,2807.81000000,2823.17000000,2795.45000000,2817.13000000,18648.65650000
2022-04-30 00:00:00,2817.13000000,2834.05000000,2812.19000000,2825.63000000,23988.23400000
2022-04-30 02:00:00,2825.63000000,2837.82000000,2810.45000000,2818.26000000,24082.79780000
2022-04-30 04:00:00,2818.26000000,2841.63000000,2809.16000000,2836.30000000,19462.52510000
2022-04-30 06:00:00,2836.31000000,2839.39000000,2822.54000000,2829.79000000,16330.86560000
2022-04-30 08:00:00,2829.79000000,2834.95000000,2817.69000000,2833.45000000,22543.88640000
2022-04-30 10:00:00,2833.46000000,2840.00000000,2829.01000000,2830.76000000,17933.41930000
2022-04-30 12:00:00,2830.76000000,2836.66000000,2813.90000000,2821.05000000,18761.05610000
2022-04-30 14:00:00,2821.06000000,2824.80000000,2771.01000000,2816.08000000,56673.00620000
2022-04-30 16:00:00,2816.07000000,2822.16000000,2780.58000000,2786.01000000,31071.37680000
2022-04-30 18:00:00,2786.00000000,2811.00000000,2775.03000000,2806.73000000,23791.89860000
2022-04-30 20:00:00,2806.74000000,2807.86000000,2785.35000000,2795.14000000,19192.51890000
2022-04-30 22:00:00,2795.14000000,2797.00000000,2709.26000000,2726.66000000,93925.66210000
2022-05-01 00:00:00,2726.67000000,2777.36000000,2716.13000000,2770.25000000,62921.91930000
2022-05-01 02:00:00,2770.26000000,2780.62000000,2754.76000000,2777.15000000,27492.19490000
2022-05-01 04:00:00,2777.15000000,2795.15000000,2764.18000000,2782.00000000,41389.35440000
2022-05-01 06:00:00,2782.01000000,2791.79000000,2764.67000000,2766.39000000,27656.36300000
2022-05-01 08:00:00,2766.40000000,2782.00000000,2756.80000000,2768.31000000,21330.25820000
2022-05-01 10:00:00,2768.32000000,2775.87000000,2751.74000000,2756.80000000,19438.67650000
2022-05-01 12:00:00,2756.79000000,2779.42000000,2753.50000000,2757.99000000,23771.20600000
2022-05-01 14:00:00,2758.00000000,2819.31000000,2754.28000000,2805.75000000,45670.44890000
2022-05-01 16:00:00,2805.76000000,2828.93000000,2801.53000000,2807.06000000,40478.66660000
2022-05-01 18:00:00,2807.05000000,2808.62000000,2755.10000000,2765.39000000,37054.10360000
2022-05-01 20:00:00,2765.40000000,2821.70000000,2757.81000000,2808.61000000,35495.23250000
2022-05-01 22:00:00,2808.61000000,2849.90000000,2793.25000000,2824.81000000,59846.45530000
2022-05-02 00:00:00,2824.81000000,2849.68000000,2822.59000000,2834.21000000,38865.51610000
2022-05-02 02:00:00,2834.21000000,2846.21000000,2829.01000000,2840.72000000,22534.91150000
2022-05-02 04:00:00,2840.72000000,2867.21000000,2832.10000000,2861.27000000,31738.27180000
2022-05-02 06:00:00,2861.27000000,2874.59000000,2841.10000000,2845.26000000,26512.74070000
2022-05-02 08:00:00,2845.26000000,2855.86000000,2807.64000000,2810.42000000,32430.94420000
2022-05-02 10:00:00,2810.43000000,2819.76000000,2789.63000000,2795.05000000,33270.55570000
2022-05-02 12:00:00,2795.05000000,2845.10000000,2778.78000000,2829.25000000,82155.71220000
2022-05-02 14:00:00,2829.25000000,2852.53000000,2805.23000000,2827.68000000,70737.43870000
2022-05-02 16:00:00,2827.68000000,2836.49000000,2784.24000000,2797.27000000,49779.65830000
2022-05-02 18:00:00,2797.26000000,2850.00000000,2780.00000000,2841.71000000,68139.72860000
2022-05-02 20:00:00,2841.72000000,2869.39000000,2824.08000000,2866.14000000,34694.43100000
2022-05-02 22:00:00,2866.14000000,2894.22000000,2851.20000000,2856.54000000,30846.94790000
2022-05-03 00:00:00,2856.54000000,2861.47000000,2830.27000000,2844.99000000,31556.23790000
2022-05-03 02:00:00,2844.99000000,2856.33000000,2828.65000000,2851.00000000,22877.38120000
2022-05-03 04:00:00,2851.00000000,2855.07000000,2829.90000000,2844.09000000,31822.91820000
2022-05-03 06:00:00,2844.09000000,2848.73000000,2835.10000000,2844.98000000,18962.42280000
2022-05-03 08:00:00,2844.98000000,2854.12000000,2832.70000000,2833.71000000,17094.54650000
2022-05-03 10:00:00,2833.71000000,2849.60000000,2824.00000000,2849.01000000,20041.17870000
2022-05-03 12:00:00,2849.01000000,2850.81000000,2815.31000000,2834.32000000,37506.29230000
2022-05-03 14:00:00,2834.33000000,2847.61000000,2815.66000000,2822.21000000,38696.26690000
2022-05-03 16:00:00,2822.21000000,2827.51000000,2800.04000000,2802.69000000,39052.29040000
2022-05-03 18:00:00,2802.69000000,2802.70000000,2761.03000000,2773.43000000,63154.95970000
2022-05-03 20:00:00,2773.43000000,2798.00000000,2755.19000000,2787.22000000,27640.49990000
